ID,PRE_POST2010,Arrest_Year,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,Lat,Long,Lon_Lat
313,POST,2018,15-Dec-18,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,122,18-24,F,WHITE HISPANIC,40.57414013,-74.10600777,POINT (-74.10600776499997 40.57414012800007)
314,POST,2018,26-Dec-18,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 160050H,F,S,120,25-44,M,WHITE,40.61903772,-74.0687291,POINT (-74.06872910199996 40.61903771900006)
315,POST,2019,8-Feb-19,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 160050H,F,S,120,25-44,M,WHITE,40.64502275,-74.07721685,POINT (-74.07721684699999 40.64502274600005)
316,POST,2019,17-May-19,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 121120H,F,S,120,25-44,M,BLACK HISPANIC,40.64187903,-74.09661345,POINT (-74.09661344599994 40.64187902900005)
317,POST,2019,12-Sep-19,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,45-64,M,WHITE,40.62674268,-74.1076584,POINT (-74.10765840399995 40.62674268000006)
318,POST,2019,2-Oct-19,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145003H,F,S,121,25-44,F,WHITE,40.62322682,-74.14922697,POINT (-74.14922697299994 40.62322681900008)
319,POST,2019,2-Oct-19,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,45-64,M,WHITE,40.64270648,-74.0767169,POINT (-74.07671690299999 40.64270648100006)
320,POST,2019,18-Nov-19,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,121,25-44,M,BLACK,40.63898418,-74.1712523,POINT (-74.17125230499994 40.638984176000065)
321,POST,2020,7-Jan-20,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145050H,F,S,120,25-44,M,WHITE HISPANIC,40.636525,-74.11623137,POINT (-74.11623137199997 40.63652500300003)
322,POST,2020,30-Apr-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,121,45-64,F,WHITE HISPANIC,40.63558689,-74.16510051,POINT (-74.16510050699996 40.635586887000045)
323,POST,2020,20-May-20,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 121120H,F,S,122,25-44,M,BLACK,40.56201074,-74.11187649,POINT (-74.11187649199996 40.56201074400008)
324,POST,2020,4-Jun-20,640,AGGRAVATED HARASSMENT 1,126,MISCELLANEOUS PENAL LAW,PL 240302H,F,S,120,45-64,M,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
325,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
326,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
327,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
328,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
329,POST,2020,6-Aug-20,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 240250H,M,S,120,65+,F,WHITE HISPANIC,40.60965921,-74.12887295,POINT (-74.12887294599993 40.60965920600006)
330,POST,2020,13-Aug-20,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120059H,F,S,120,25-44,M,BLACK HISPANIC,40.63935117,-74.08613535,POINT (-74.08613535099995 40.63935117200003)
331,POST,2020,2-Oct-20,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120002H,F,S,123,18-24,M,ASIAN / PACIFIC ISLANDER,40.51158634,-74.24930373,POINT (-74.24930372699998 40.51158633800003)
332,POST,2020,28-Nov-20,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 14500AH,F,S,120,25-44,F,WHITE,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
333,POST,2020,3-Dec-20,112,MENACING 1ST DEGREE (VICT NOT,126,MISCELLANEOUS PENAL LAW,PL 120141H,F,S,120,18-24,M,BLACK,40.64502275,-74.07721685,POINT (-74.077216847 40.645022746000045)
334,POST,2021,3-Sep-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120002H,F,S,122,25-44,M,BLACK,40.58526606,-74.10159711,POINT (-74.10159710799998 40.58526606300006)
335,POST,2021,10-Aug-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120001H,F,S,121,25-44,M,BLACK,40.62322682,-74.14922697,POINT (-74.14922697299994 40.623226819000074)
336,POST,2021,6-Jun-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,120,45-64,M,WHITE,40.61181316,-74.06444646,POINT (-74.06444645899995 40.61181315500005)
337,POST,2021,8-Apr-21,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120052H,F,S,122,45-64,M,WHITE,40.55191421,-74.15732258,POINT (-74.15732258099996 40.55191421400008)
